Times_serviced,Total_service_pay,Average_service_pay,Loyal_or_Disloyal,Loyal,Service_time,Commercial_electronic_messages,Model_year,Number_of_years,Customer_cost,Rate,Number_active_cars,number_historic_cars,odometer_reading,Income,province,Term,Total_monthly_payment,Total_pay,Warranty_pay,Age,Days_since_last_service,Used_or_New,product_category
12,520,43.33333333,0,Disloyal,4,0,2016,13,3375,1,1,2,31793,60000,1,48,603,28944,4312.507397,63,1187.833333,1,0
13,3841.400009,295.4923084,0,Disloyal,2,0,2013,10,0,0.75,2,1,141167,141167,1,36,452,16272,4307.908521,50,824.8333333,0,0
15,2455.860004,163.7240003,0,Disloyal,12.5,0,2019,16,10305,2,1,1,101045,101045,3,52.5,1049.5,55098.75,4307.897955,58,681.3333165,0,1
37,13011.89003,351.6727035,1,Loyal,7,0,2018,15,0,2,1,14,4377,60000,1,48,614,29472,4300.884082,58,101.8333333,0,1
31,10821.35006,349.0758084,0,Disloyal,1,0,2016,13,0,0.75,1,1,69350,69350,5,39,687,26793,4300.558521,42,859.8333333,1,0
10,3923.829956,392.3829956,0,Disloyal,42,1,2013,10,0,0.75,1,1,101689,101689,1,66,577,38082,4292.137564,44,1003.333333,0,1
7,333.3599854,47.62285506,1,Loyal,1,0,2016,13,0,0,2,4,70293,70293,1,39,730,28470,4291.549567,44,801.8333333,1,0
6,1733.779999,288.9633332,0,Disloyal,1,0,2018,15,108.65,1.5,1,1,80506,80506,1,66,613,40458,4274.098636,36,865.8125002,1,0
12,1418.359985,118.1966654,1,Loyal,3,0,2017,14,0,0.75,1,3,28028,60000,2,42,823,34566,4272.523572,61,451.8333333,0,1
2,0,0,0,Disloyal,3,0,2012,9,0,0,1,1,100410,100410,2,84,586,49224,4271.588928,51,1697.791667,0,1
12,309.9499969,25.82916641,0,Disloyal,1,0,2012,9,155.84,0.75,2,1,81496,81496,1,48,664,31872,4267.452122,31,2424.791667,1,0
